department,date,value
MAGDALENA,4/7/2019,0
META,4/7/2019,1
NARIÑO,4/7/2019,0
NORTE SANTANDER,4/7/2019,0
PUTUMAYO,4/7/2019,0
RISARALDA,4/7/2019,0
SANTANDER,4/7/2019,0
SUCRE,4/7/2019,0
TOLIMA,4/7/2019,0
VALLE DEL CAUCA,4/7/2019,0
VAUPES,4/7/2019,0
VICHADA,4/7/2019,0
AMAZONAS,4/14/2019,0
ANTIOQUIA,4/14/2019,0
ARAUCA,4/14/2019,0
ATLANTICO,4/14/2019,0
BOGOTA,4/14/2019,1
BOLIVAR,4/14/2019,0
BOYACA,4/14/2019,0
CALDAS,4/14/2019,0
CAQUETA,4/14/2019,0
CASANARE,4/14/2019,0
CAUCA,4/14/2019,0
CESAR,4/14/2019,0
CHOCO,4/14/2019,0
CORDOBA,4/14/2019,1
CUNDINAMARCA,4/14/2019,0
GUAINIA,4/14/2019,0
GUAVIARE,4/14/2019,0
HUILA,4/14/2019,0
LA GUAJIRA,4/14/2019,0
MAGDALENA,4/14/2019,2
META,4/14/2019,0
NARIÑO,4/14/2019,0
NORTE SANTANDER,4/14/2019,0
PUTUMAYO,4/14/2019,0
RISARALDA,4/14/2019,0
SANTANDER,4/14/2019,0
SUCRE,4/14/2019,0
TOLIMA,4/14/2019,0
VALLE DEL CAUCA,4/14/2019,1
VAUPES,4/14/2019,0
VICHADA,4/14/2019,0
AMAZONAS,4/21/2019,0
ANTIOQUIA,4/21/2019,0
ARAUCA,4/21/2019,0
ATLANTICO,4/21/2019,0
BOGOTA,4/21/2019,0
BOLIVAR,4/21/2019,0
BOYACA,4/21/2019,0
CALDAS,4/21/2019,0
CAQUETA,4/21/2019,0
CASANARE,4/21/2019,0
CAUCA,4/21/2019,0
CESAR,4/21/2019,1
CHOCO,4/21/2019,0
CORDOBA,4/21/2019,0
CUNDINAMARCA,4/21/2019,0
GUAINIA,4/21/2019,0
GUAVIARE,4/21/2019,0
HUILA,4/21/2019,0
LA GUAJIRA,4/21/2019,1
MAGDALENA,4/21/2019,1
META,4/21/2019,0
NARIÑO,4/21/2019,0
NORTE SANTANDER,4/21/2019,0
PUTUMAYO,4/21/2019,1
RISARALDA,4/21/2019,0
SANTANDER,4/21/2019,0
SUCRE,4/21/2019,0
TOLIMA,4/21/2019,0
VALLE DEL CAUCA,4/21/2019,0
