zone,date,year,month,week,value
PACIFICO,5/5/2019,2019,5,19,2
PACIFICO,5/12/2019,2019,5,20,1
PACIFICO,5/19/2019,2019,5,21,0
PACIFICO,5/26/2019,2019,5,22,0
PACIFICO,6/2/2019,2019,6,23,1
PACIFICO,6/9/2019,2019,6,24,1
PACIFICO,6/16/2019,2019,6,25,1
PACIFICO,6/23/2019,2019,6,26,2
PACIFICO,6/30/2019,2019,6,27,1
PACIFICO,7/7/2019,2019,7,28,1
PACIFICO,7/14/2019,2019,7,29,0
PACIFICO,7/21/2019,2019,7,30,1
PACIFICO,7/28/2019,2019,7,31,2
PACIFICO,8/4/2019,2019,8,32,1
PACIFICO,8/11/2019,2019,8,33,0
PACIFICO,8/18/2019,2019,8,34,0
PACIFICO,8/25/2019,2019,8,35,0
PACIFICO,9/1/2019,2019,9,36,0
PACIFICO,9/8/2019,2019,9,37,0
PACIFICO,9/15/2019,2019,9,38,0
PACIFICO,9/22/2019,2019,9,39,2
PACIFICO,9/29/2019,2019,9,40,0
PACIFICO,10/6/2019,2019,10,41,1
PACIFICO,10/13/2019,2019,10,42,1
PACIFICO,10/20/2019,2019,10,43,0
PACIFICO,10/27/2019,2019,10,44,1
PACIFICO,11/3/2019,2019,11,45,1
PACIFICO,11/10/2019,2019,11,46,1
PACIFICO,11/17/2019,2019,11,47,0
PACIFICO,11/24/2019,2019,11,48,0
PACIFICO,12/1/2019,2019,12,49,1
PACIFICO,12/8/2019,2019,12,50,1
PACIFICO,12/15/2019,2019,12,51,1
PACIFICO,12/22/2019,2019,12,52,1
PACIFICO,1/1/2020,2020,1,1,3
PACIFICO,1/5/2020,2020,1,2,0
PACIFICO,1/12/2020,2020,1,3,1
PACIFICO,1/19/2020,2020,1,4,1
PACIFICO,1/26/2020,2020,1,5,0
PACIFICO,2/2/2020,2020,2,6,1
PACIFICO,2/9/2020,2020,2,7,2
PACIFICO,2/16/2020,2020,2,8,1
