Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
5/13/2018,2,23,0,11,28,13,3,2,1,0,8,6,1,21,7,0,0,6,9,6,1,4,4,1,1,3,0,5,3,4,14,0,0
5/20/2018,1,24,0,9,28,7,9,0,0,3,5,7,4,3,7,0,0,7,8,2,3,3,7,5,0,1,0,7,6,4,18,0,1
5/27/2018,2,24,1,10,23,11,4,5,1,0,2,7,5,12,7,1,1,1,10,7,3,3,9,1,1,0,0,3,4,8,15,0,1
6/3/2018,2,20,0,18,22,9,3,0,5,2,4,6,2,6,4,0,1,4,7,13,1,7,3,1,1,2,0,7,5,1,13,0,0
6/10/2018,0,20,0,13,34,8,4,1,2,1,7,5,5,10,14,0,0,5,1,7,5,4,6,1,0,3,0,6,4,3,13,0,0
6/17/2018,0,23,3,17,21,15,3,3,1,0,4,3,7,8,8,1,0,6,4,8,1,3,10,2,3,2,1,4,6,4,19,0,0
6/24/2018,0,25,1,9,34,6,8,0,1,0,2,9,2,12,8,0,0,4,13,9,3,9,6,2,4,5,0,4,4,4,12,0,0
7/1/2018,0,30,0,16,26,5,2,2,2,2,4,6,8,14,10,1,1,6,8,6,6,6,3,1,2,0,0,6,7,7,12,0,0
7/8/2018,2,24,1,17,24,6,5,3,1,2,6,3,2,16,12,0,1,2,6,5,5,6,4,2,1,0,0,2,7,2,14,0,1
7/15/2018,1,21,0,10,27,15,4,3,4,1,11,5,5,11,9,1,0,3,3,6,5,2,5,1,1,2,0,8,4,6,15,1,0
7/22/2018,2,33,2,15,22,12,3,1,2,3,9,4,2,9,8,0,0,7,8,8,3,7,6,1,0,5,0,7,8,3,20,0,0
7/29/2018,0,23,1,15,23,19,1,7,3,4,8,6,2,12,6,1,0,9,12,5,4,1,6,3,3,4,0,7,3,6,13,1,0
8/5/2018,0,26,1,17,21,14,5,1,2,0,3,7,5,7,2,0,0,7,10,5,2,6,8,1,0,3,1,4,7,7,12,0,1
8/12/2018,0,21,3,15,23,11,5,2,2,3,5,10,2,9,5,0,0,3,11,7,2,13,7,0,2,4,0,1,2,4,13,1,0
8/19/2018,1,16,0,13,39,13,3,4,3,3,6,5,4,6,8,0,0,4,8,6,3,7,10,1,4,3,0,4,5,5,17,1,0
8/26/2018,1,23,2,16,27,17,4,3,4,1,7,7,2,13,8,0,0,1,6,10,4,3,6,0,2,1,1,10,9,7,15,0,0
9/2/2018,0,14,1,9,23,15,3,1,3,1,7,12,4,16,7,0,0,5,9,7,3,6,4,4,1,3,0,6,4,0,15,1,0
9/9/2018,0,20,1,21,24,19,3,0,2,1,5,12,5,10,17,0,0,7,5,5,4,6,7,3,1,1,0,6,5,4,18,0,1
9/16/2018,0,29,1,11,40,15,3,3,1,3,2,5,4,11,3,1,1,8,16,7,1,4,7,1,0,0,0,5,5,2,11,1,0
9/23/2018,0,23,1,22,25,13,2,1,0,1,6,6,3,6,9,0,0,4,8,6,5,5,13,2,5,4,1,7,7,0,16,1,2
9/30/2018,1,18,1,14,17,10,4,2,3,4,9,6,1,8,9,1,2,7,4,10,4,5,5,0,1,5,1,7,5,7,10,0,0
10/7/2018,0,19,5,10,27,14,0,1,3,2,8,2,3,6,5,1,0,6,8,8,8,2,5,3,2,2,0,3,6,3,10,1,1
10/14/2018,0,16,2,19,18,6,4,1,2,1,8,13,2,10,7,0,1,5,9,11,10,4,8,2,3,3,1,5,5,4,11,1,2
10/21/2018,1,19,1,22,25,9,1,1,3,0,4,5,4,11,9,0,1,6,7,2,3,4,2,2,2,6,0,3,3,2,13,0,0
10/28/2018,0,21,0,14,37,10,4,2,1,0,6,5,3,17,13,0,1,5,3,5,3,6,3,1,1,2,0,9,0,1,23,0,1
11/4/2018,1,20,0,17,24,15,2,1,4,3,3,9,4,12,5,0,1,1,13,8,1,5,5,3,2,4,2,2,5,5,11,0,0
11/11/2018,0,25,1,11,19,7,1,2,4,2,4,9,4,7,5,2,0,1,7,3,1,6,4,4,3,1,0,4,7,3,11,0,3
11/18/2018,0,24,1,9,23,8,4,3,1,0,3,10,1,7,9,0,0,5,7,7,3,8,2,2,1,7,1,8,5,9,16,0,0
11/25/2018,0,13,1,10,27,11,4,0,2,3,4,5,3,12,10,0,1,4,8,8,8,7,3,1,4,7,1,2,3,4,15,0,1
12/2/2018,1,21,0,12,28,7,2,0,1,1,9,9,2,17,4,0,0,3,8,8,4,4,7,1,1,2,1,2,7,3,17,1,1
12/9/2018,0,23,0,16,31,6,4,1,0,0,2,7,5,13,4,0,0,0,7,6,1,4,6,0,3,6,1,6,7,4,11,0,1
12/16/2018,0,27,1,16,26,9,5,2,3,2,4,7,1,9,7,1,0,5,7,10,3,5,7,2,1,2,1,6,6,5,14,0,0
12/23/2018,1,14,1,17,32,12,6,1,2,0,5,2,4,13,4,0,0,1,8,7,3,7,4,0,3,2,0,4,4,3,13,0,0
1/1/2019,0,15,0,7,15,5,2,1,3,0,1,5,5,10,6,1,0,1,8,4,2,4,10,2,2,2,0,9,6,4,12,1,0
1/6/2019,1,18,0,10,26,6,4,1,3,0,9,6,2,9,10,0,0,3,13,6,4,1,3,1,2,1,0,3,6,4,8,0,1
1/13/2019,0,28,1,6,15,5,6,4,2,1,4,8,4,11,3,0,0,9,9,8,2,6,2,1,1,0,0,7,2,8,13,1,0
1/20/2019,1,23,2,7,19,2,4,2,3,0,9,6,4,10,7,0,0,2,6,7,5,6,9,2,1,2,1,3,3,2,11,0,0
1/27/2019,0,16,0,9,15,6,2,4,2,1,5,2,4,12,3,0,0,4,8,4,3,5,6,2,1,3,0,2,6,3,8,0,0
2/3/2019,0,27,0,6,29,7,1,4,2,0,6,4,4,10,7,1,0,3,9,2,3,8,4,1,2,2,0,8,5,5,8,0,4
2/10/2019,0,15,2,5,25,7,3,1,1,4,3,10,5,10,10,0,0,2,3,3,3,4,11,3,0,2,0,7,3,5,9,0,1
2/17/2019,0,20,0,7,27,10,2,0,0,1,6,7,4,11,4,0,0,2,12,5,10,7,9,1,4,2,0,6,5,5,12,1,2
2/24/2019,1,26,0,7,26,9,5,1,2,1,4,4,2,10,3,0,0,4,9,7,4,10,7,1,3,3,0,4,7,1,10,0,0
3/3/2019,0,17,1,8,21,5,4,0,0,1,8,5,4,6,7,1,0,6,10,3,3,5,5,3,0,4,0,4,4,0,11,1,0
3/10/2019,1,22,2,10,34,8,0,3,1,0,7,8,3,13,6,0,2,1,8,2,1,6,3,0,3,2,0,6,6,2,17,0,1
3/17/2019,0,24,0,6,22,3,3,2,2,2,1,8,5,7,5,0,1,3,8,4,2,6,3,2,2,2,0,8,5,4,14,0,2
3/24/2019,1,19,2,7,21,5,2,2,4,1,3,4,3,7,4,0,0,6,10,3,2,4,3,0,2,2,1,6,3,4,6,0,1
3/31/2019,2,11,1,7,28,5,3,1,2,2,3,7,2,6,11,0,1,5,8,6,3,10,5,1,0,2,4,6,3,5,11,0,0
4/7/2019,0,16,1,6,19,4,1,4,3,1,8,14,2,14,7,1,1,3,8,5,2,8,6,2,1,2,0,2,4,6,12,0,2
4/14/2019,1,21,0,6,29,6,2,4,2,0,3,4,3,9,8,1,2,7,9,3,4,7,2,0,1,1,1,3,6,1,8,0,2
4/21/2019,0,30,1,11,25,10,3,1,2,1,11,10,5,7,6,2,0,3,7,5,3,7,2,3,0,1,0,3,5,7,7,0,0
4/28/2019,0,33,2,6,25,5,7,2,0,1,5,16,1,8,15,1,0,4,4,3,4,2,1,1,2,2,0,6,3,6,13,0,0
5/5/2019,0,24,0,8,31,5,1,7,2,0,4,8,7,11,4,1,0,6,6,4,2,8,7,2,0,2,0,6,1,4,9,0,1
5/12/2019,3,18,1,11,22,5,2,4,1,3,6,8,1,9,14,0,1,3,6,6,3,2,2,1,0,5,0,4,5,4,12,1,1
5/19/2019,0,16,1,10,25,5,8,2,1,1,5,9,4,12,11,0,0,3,7,2,6,2,7,1,1,2,0,10,2,10,15,1,0
5/26/2019,0,26,0,8,32,4,1,6,0,2,4,7,5,3,6,0,1,1,16,2,1,5,9,0,2,0,0,4,5,5,16,1,1
