exec_date,date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-11-13 13:00:22.845705,2017-04-23,52000,2017.0,5.0,7691,,,
2020-11-13 13:00:22.845705,2017-04-23,52001,2017.0,5.0,3675,,,
2020-11-13 13:00:22.845705,2017-04-23,54000,2017.0,5.0,5799,,,
2020-11-13 13:00:22.845705,2017-04-23,54001,2017.0,5.0,3709,,,
2020-11-13 13:00:22.845705,2017-04-23,63000,2017.0,5.0,3414,,,
2020-11-13 13:00:22.845705,2017-04-23,63001,2017.0,5.0,2170,,,
2020-11-13 13:00:22.845705,2017-04-23,66000,2017.0,5.0,4559,,,
2020-11-13 13:00:22.845705,2017-04-23,66001,2017.0,5.0,2925,,,
2020-11-13 13:00:22.845705,2017-04-23,68000,2017.0,5.0,7739,,,
2020-11-13 13:00:22.845705,2017-04-23,68001,2017.0,5.0,4342,,,
2020-11-13 13:00:22.845705,2017-04-23,70000,2017.0,5.0,3138,,,
2020-11-13 13:00:22.845705,2017-04-23,70001,2017.0,5.0,800,,,
2020-11-13 13:00:22.845705,2017-04-23,73000,2017.0,5.0,6885,,,
2020-11-13 13:00:22.845705,2017-04-23,73001,2017.0,5.0,4451,,,
2020-11-13 13:00:22.845705,2017-04-23,76000,2017.0,5.0,24978,,,
2020-11-13 13:00:22.845705,2017-04-23,76001,2017.0,5.0,16746,,,
2020-11-13 13:00:22.845705,2017-04-23,81000,2017.0,5.0,686,,,
2020-11-13 13:00:22.845705,2017-04-23,81001,2017.0,5.0,173,,,
2020-11-13 13:00:22.845705,2017-04-23,85000,2017.0,5.0,1068,,,
2020-11-13 13:00:22.845705,2017-04-23,85001,2017.0,5.0,451,,,
2020-11-13 13:00:22.845705,2017-04-23,86000,2017.0,5.0,1422,,,
2020-11-13 13:00:22.845705,2017-04-23,86001,2017.0,5.0,298,,,
2020-11-13 13:00:22.845705,2017-04-23,88000,2017.0,5.0,390,,,
2020-11-13 13:00:22.845705,2017-04-23,88001,2017.0,5.0,378,,,
2020-11-13 13:00:22.845705,2017-04-23,91000,2017.0,5.0,455,,,
2020-11-13 13:00:22.845705,2017-04-23,91001,2017.0,5.0,323,,,
2020-11-13 13:00:22.845705,2017-04-23,94000,2017.0,5.0,156,,,
2020-11-13 13:00:22.845705,2017-04-23,94001,2017.0,5.0,144,,,
2020-11-13 13:00:22.845705,2017-04-23,95000,2017.0,5.0,299,,,
2020-11-13 13:00:22.845705,2017-04-23,95001,2017.0,5.0,225,,,
2020-11-13 13:00:22.845705,2017-04-23,97000,2017.0,5.0,75,,,
2020-11-13 13:00:22.845705,2017-04-23,97001,2017.0,5.0,37,,,
2020-11-13 13:00:22.845705,2017-04-23,99000,2017.0,5.0,175,,,
2020-11-13 13:00:22.845705,2017-04-23,99001,2017.0,5.0,84,,,
2020-11-13 13:00:22.845705,2017-05-21,00000,2017.0,6.0,246873,,,
2020-11-13 13:00:22.845705,2017-05-21,05000,2017.0,6.0,32468,,,
2020-11-13 13:00:22.845705,2017-05-21,05001,2017.0,6.0,18241,,,
2020-11-13 13:00:22.845705,2017-05-21,08000,2017.0,6.0,9918,,,
2020-11-13 13:00:22.845705,2017-05-21,08001,2017.0,6.0,6048,,,
2020-11-13 13:00:22.845705,2017-05-21,11001,2017.0,6.0,76406,,,
2020-11-13 13:00:22.845705,2017-05-21,13000,2017.0,6.0,6967,,,
2020-11-13 13:00:22.845705,2017-05-21,13001,2017.0,6.0,3844,,,
2020-11-13 13:00:22.845705,2017-05-21,15000,2017.0,6.0,4041,,,
2020-11-13 13:00:22.845705,2017-05-21,15001,2017.0,6.0,919,,,
2020-11-13 13:00:22.845705,2017-05-21,17000,2017.0,6.0,3220,,,
2020-11-13 13:00:22.845705,2017-05-21,17001,2017.0,6.0,2155,,,
2020-11-13 13:00:22.845705,2017-05-21,18000,2017.0,6.0,1957,,,
2020-11-13 13:00:22.845705,2017-05-21,18001,2017.0,6.0,1138,,,
2020-11-13 13:00:22.845705,2017-05-21,19000,2017.0,6.0,5316,,,
