date,entity,year,month,week,period,value
11/25/2018,ANTIOQUIA,2018,11,48,12,64
12/2/2018,ANTIOQUIA,2018,12,49,13,49
12/9/2018,ANTIOQUIA,2018,12,50,13,56
12/16/2018,ANTIOQUIA,2018,12,51,13,47
12/23/2018,ANTIOQUIA,2018,12,52,13,27
12/30/2018,ANTIOQUIA,2019,1,1,1,40
1/6/2019,ANTIOQUIA,2019,1,2,1,47
1/13/2019,ANTIOQUIA,2019,1,3,1,64
1/20/2019,ANTIOQUIA,2019,1,4,1,67
1/27/2019,ANTIOQUIA,2019,1,5,2,67
2/3/2019,ANTIOQUIA,2019,2,6,2,63
2/10/2019,ANTIOQUIA,2019,2,7,2,58
2/17/2019,ANTIOQUIA,2019,2,8,2,53
2/24/2019,ANTIOQUIA,2019,2,9,3,60
3/3/2019,ANTIOQUIA,2019,3,10,3,68
3/10/2019,ANTIOQUIA,2019,3,11,3,57
3/17/2019,ANTIOQUIA,2019,3,12,3,64
3/24/2019,ANTIOQUIA,2019,3,13,4,50
3/31/2019,ANTIOQUIA,2019,3,14,4,57
4/7/2019,ANTIOQUIA,2019,4,15,4,51
4/14/2019,ANTIOQUIA,2019,4,16,4,45
4/21/2019,ANTIOQUIA,2019,4,17,5,65
4/28/2019,ANTIOQUIA,2019,4,18,5,43
5/5/2019,ANTIOQUIA,2019,5,19,5,57
5/12/2019,ANTIOQUIA,2019,5,20,5,58
5/19/2019,ANTIOQUIA,2019,5,21,6,57
5/26/2019,ANTIOQUIA,2019,5,22,6,51
6/2/2019,ANTIOQUIA,2019,6,23,6,47
6/9/2019,ANTIOQUIA,2019,6,24,6,62
6/16/2019,ANTIOQUIA,2019,6,25,7,46
6/23/2019,ANTIOQUIA,2019,6,26,7,52
6/30/2019,ANTIOQUIA,2019,6,27,7,42
7/7/2019,ANTIOQUIA,2019,7,28,7,61
7/14/2019,ANTIOQUIA,2019,7,29,8,63
7/21/2019,ANTIOQUIA,2019,7,30,8,53
7/28/2019,ANTIOQUIA,2019,7,31,8,65
8/4/2019,ANTIOQUIA,2019,8,32,8,53
8/11/2019,ANTIOQUIA,2019,8,33,9,66
8/18/2019,ANTIOQUIA,2019,8,34,9,59
8/25/2019,ANTIOQUIA,2019,8,35,9,54
9/1/2019,ANTIOQUIA,2019,9,36,9,55
9/8/2019,ANTIOQUIA,2019,9,37,10,54
9/15/2019,ANTIOQUIA,2019,9,38,10,55
9/22/2019,ANTIOQUIA,2019,9,39,10,39
9/29/2019,ANTIOQUIA,2019,9,40,10,47
10/6/2019,ANTIOQUIA,2019,10,41,11,61
10/13/2019,ANTIOQUIA,2019,10,42,11,59
10/20/2019,ANTIOQUIA,2019,10,43,11,55
10/27/2019,ANTIOQUIA,2019,10,44,11,65
11/3/2019,ANTIOQUIA,2019,11,45,12,56
11/10/2019,ANTIOQUIA,2019,11,46,12,57
11/17/2019,ANTIOQUIA,2019,11,47,12,59
11/24/2019,ANTIOQUIA,2019,11,48,12,69
12/1/2019,ANTIOQUIA,2019,12,49,13,53
12/8/2019,ANTIOQUIA,2019,12,50,13,45
12/15/2019,ANTIOQUIA,2019,12,51,13,36
12/22/2019,ANTIOQUIA,2019,12,52,13,17
12/29/2019,ANTIOQUIA,2020,1,1,1,45
1/5/2020,ANTIOQUIA,2020,1,2,1,61
1/12/2020,ANTIOQUIA,2020,1,3,1,81
1/19/2020,ANTIOQUIA,2020,1,4,1,56
1/26/2020,ANTIOQUIA,2020,1,5,2,55
2/2/2020,ANTIOQUIA,2020,2,6,2,69
2/9/2020,ANTIOQUIA,2020,2,7,2,68
2/16/2020,ANTIOQUIA,2020,2,8,2,64
2/23/2020,ANTIOQUIA,2020,2,9,3,62
3/1/2020,ANTIOQUIA,2020,3,10,3,60
3/8/2020,ANTIOQUIA,2020,3,11,3,69
3/15/2020,ANTIOQUIA,2020,3,12,3,52
3/22/2020,ANTIOQUIA,2020,3,13,4,30
3/29/2020,ANTIOQUIA,2020,3,14,4,19
4/5/2020,ANTIOQUIA,2020,4,15,4,12
4/12/2020,ANTIOQUIA,2020,4,16,4,24
1/1/2017,ARAUCA,2017,1,1,1,2
1/8/2017,ARAUCA,2017,1,2,1,1
1/15/2017,ARAUCA,2017,1,3,1,2
1/22/2017,ARAUCA,2017,1,4,1,1
1/29/2017,ARAUCA,2017,1,5,2,2
2/5/2017,ARAUCA,2017,2,6,2,4
