entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13
AMAZONAS,2014,376,224,447,333,261,389,397,314,400,397,529,377,607
ANTIOQUIA,2014,15747,14049,13672,12323,13384,13695,12993,16496,15880,17618,18043,13295,13353
ARAUCA,2014,617,599,530,324,423,543,560,543,560,474,455,459,579
ARAUCA CAP,2014,246,238,171,157,191,244,159,174,195,147,180,164,191
ARMENIA,2014,2536,1942,1577,1187,1352,2004,2189,2128,2370,2273,2021,1756,1462
ATLANTICO,2014,5888,3142,2505,2199,2445,3543,3853,2169,2141,4197,5027,5026,3502
BARRANQUILLA,2014,5506,6388,4486,5181,4241,5845,7124,5599,4809,6861,7758,6908,4993
BOGOTA DC,2014,49722,76778,61978,46170,49362,56699,44300,60575,55395,56418,53273,57023,45901
BOLIVAR,2014,2637,3492,2828,2653,2543,3164,3169,3010,3072,3252,3684,3499,3241
BOYACA,2014,4226,4550,4910,4027,3769,3627,3127,3075,3655,3814,3477,3138,2338
BUCARAMANGA,2014,1894,2697,2279,2823,1814,2118,2189,1867,1923,2517,2141,2040,1902
CALDAS,2014,1032,1389,1796,1069,1038,1321,1387,1588,1764,1610,1607,1528,1294
CALI,2014,12873,11541,12113,16173,11527,14103,12528,22207,13377,17096,12172,13536,13114
CAQUETA,2014,951,1033,1167,782,830,795,684,793,817,702,752,859,625
CARTAGENA,2014,3805,5155,5394,4384,3295,6433,4659,4526,4612,4696,3816,3990,3903
CASANARE,2014,551,657,829,533,709,847,681,680,596,768,706,714,580
CAUCA,2014,2678,3402,4615,3562,3056,3148,2790,3344,3136,3590,3937,4139,3375
CESAR,2014,2008,1925,2264,2028,2246,2591,2433,2064,2076,2283,1931,2287,1827
CHOCO,2014,586,487,749,500,672,696,348,558,597,666,616,629,812
CORDOBA,2014,2620,3408,4757,3658,3591,3731,3074,2951,3116,3058,3261,3072,2974
CUNDINAMARCA,2014,9131,10951,11650,8485,9000,9548,7606,9438,9596,9675,10578,9885,8359
FLORENCIA,2014,1594,1489,1351,981,1157,1202,1582,1062,1170,730,1406,1036,1328
GUAINIA,2014,33,13,10,54,6,31,12,25,14,27,16,13,22
GUAVIARE,2014,50,132,113,185,181,172,126,66,103,138,58,69,78
HUILA,2014,2915,3586,3402,3036,2519,2331,2313,2576,2405,2547,2569,2952,2672
IBAGUE,2014,4166,3038,2798,2283,4491,2961,3108,5022,4908,2738,4860,2918,3118
PUERTO INIRIDA,2014,84,118,133,143,140,86,128,114,92,107,72,20,91
LA GUAJIRA,2014,1701,1981,1485,1740,1559,1716,1877,2071,2143,2423,3311,3264,2385
LETICIA,2014,497,432,403,236,159,242,209,221,234,198,342,787,282
MAGDALENA,2014,1728,2546,2368,2566,3402,3495,3317,3131,2812,2867,2727,3189,2957
MANIZALES,2014,1846,2569,3560,2431,2311,2800,2702,2371,2028,2401,2576,2312,2052
MEDELLIN,2014,16094,13938,14567,13725,14054,14423,13706,17964,18566,19044,15153,16075,16542
META,2014,1600,1331,1422,1398,1969,1548,1340,1597,1771,1657,1379,1567,1407
MITU,2014,18,36,38,104,54,58,66,51,46,111,84,52,31
MOCOA,2014,369,233,265,241,206,240,236,246,210,310,217,256,242
MONTERIA,2014,1439,1403,1620,1154,1200,1234,1208,1216,1318,1428,1509,1252,1151
NARIÑO,2014,3361,4721,5272,4959,5758,5540,4931,4690,4209,4167,3875,4357,4000
NEIVA,2014,2539,1829,1350,1263,1215,1194,1293,1516,1551,1402,1723,1903,2068
NORTE DE SANTANDER,2014,1339,1681,1523,1504,1842,1555,1428,1551,1857,2047,1974,1703,1388
PASTO,2014,1470,3125,3332,3408,4703,3597,2635,3304,2730,3048,2908,2628,2517
PEREIRA,2014,2749,2027,1918,1505,1643,1869,3651,3129,1980,2421,2598,1693,2721
POPAYAN,2014,1011,1109,992,840,799,830,491,532,1138,1076,1160,1076,783
PUERTO CARREÑO,2014,54,33,52,47,67,68,53,26,79,148,164,83,53
PUTUMAYO,2014,664,877,873,805,924,901,668,760,774,808,865,1036,961
QUIBDO,2014,260,290,707,212,248,564,622,385,411,220,287,296,210
QUINDIO,2014,1970,1327,1251,1041,1036,1250,1458,1916,2212,1621,1580,1251,971
RIOHACHA,2014,868,821,1059,862,1523,1514,1080,1203,1076,1348,1728,1979,1352
RISARALDA,2014,1468,1553,1949,1515,1030,1458,1949,1798,2071,2129,1829,1896,1374
SAN ANDRES,2014,1,6,16,7,3,5,8,9,9,10,13,12,3
SAN ANDRES CAP,2014,255,200,233,177,154,214,306,417,363,378,230,256,288
CUCUTA,2014,3683,4232,3319,2800,3655,2738,2958,3861,4076,3448,3882,3322,3438
SAN JOSE DEL GUAVIARE,2014,159,249,241,245,176,179,178,163,183,216,147,122,163
SANTA MARTA,2014,918,709,582,607,856,837,1006,995,1072,1409,991,955,641
SANTANDER,2014,6138,3370,3243,2799,2587,3253,4023,3279,3537,4214,4223,3689,3408
SINCELEJO,2014,906,1009,1503,899,1167,1233,1245,1374,844,1408,1186,1270,920
SUCRE,2014,1171,1090,1001,1008,1090,1390,1667,1700,1478,1561,1675,1688,1224
TOLIMA,2014,2697,2700,2336,3762,2194,2318,2655,3602,2626,2628,2649,2290,1955
TUNJA,2014,1194,1149,1682,1211,1473,1021,1021,805,1257,1100,980,905,924
VALLE DEL CAUCA,2014,9704,8917,8971,8300,10099,8730,8832,11266,9776,11000,8915,9106,7628
VALLEDUPAR,2014,1212,2260,2348,2606,3549,3508,2833,2582,2320,2975,2524,2479,2650
VAUPES,2014,19,4,,13,43,20,27,20,3,32,48,37,13
VICHADA,2014,25,72,69,77,134,117,124,62,77,89,92,52,52
VILLAVICENCIO,2014,3660,4534,3124,2750,4132,2879,3049,3596,3751,3263,3713,4703,2451
YOPAL,2014,311,446,501,300,318,414,397,381,404,527,432,319,290
AMAZONAS,2015,159,197,289,203,280,195,245,264,171,258,135,279,311
ANTIOQUIA,2015,14652,15906,12601,16689,16388,13350,15599,15334,15060,15429,16270,15732,11490
ARAUCA,2015,471,528,651,417,474,722,490,713,576,558,502,561,629
ARAUCA CAP,2015,100,169,216,113,149,218,126,162,144,143,127,153,192
ARMENIA,2015,1430,1823,2217,2084,1801,1785,2731,1742,2251,2433,1680,1825,2225
ATLANTICO,2015,4552,5332,4992,4197,5510,4522,5503,4584,5122,5355,5482,6322,3048
BARRANQUILLA,2015,6846,5676,5553,6887,6428,5731,5870,6070,6828,6866,6433,6729,5228
BOGOTA DC,2015,58390,59650,55993,56538,65277,63760,59587,51861,69235,64087,66531,68433,49224
BOLIVAR,2015,3171,3214,3282,3476,3153,3273,3502,3383,3695,3506,3023,3544,3143
BOYACA,2015,4457,3458,3334,3981,3816,3267,4017,3615,4691,3635,3476,3296,3536
BUCARAMANGA,2015,2270,3878,2477,2477,2973,3595,2923,2805,2806,2813,3523,2278,2437
CALDAS,2015,1379,1426,1444,1360,1645,1519,1431,1274,1495,1508,1572,1395,1599
CALI,2015,11481,12649,13837,12448,16088,16890,12887,13536,13242,14525,11325,12449,11939
CAQUETA,2015,703,541,849,791,647,736,720,894,717,758,696,690,853
CARTAGENA,2015,4444,4756,4276,4974,5440,4104,5228,4835,4208,4883,4514,4385,4685
CASANARE,2015,474,724,838,675,697,910,646,768,725,720,676,723,699
