department,date,value
PUTUMAYO,9/15/2019,1
QUINDIO,9/15/2019,1
RISARALDA,9/15/2019,1
SAN ANDRES,9/15/2019,0
SANTANDER,9/15/2019,6
SUCRE,9/15/2019,4
TOLIMA,9/15/2019,3
VALLE DEL CAUCA,9/15/2019,19
VAUPES,9/15/2019,0
VICHADA,9/15/2019,1
AMAZONAS,9/22/2019,1
ANTIOQUIA,9/22/2019,19
ARAUCA,9/22/2019,0
ATLANTICO,9/22/2019,21
BOGOTA,9/22/2019,25
BOLIVAR,9/22/2019,8
BOYACA,9/22/2019,4
CALDAS,9/22/2019,2
CAQUETA,9/22/2019,1
CASANARE,9/22/2019,0
CAUCA,9/22/2019,10
CESAR,9/22/2019,9
CHOCO,9/22/2019,3
CORDOBA,9/22/2019,10
CUNDINAMARCA,9/22/2019,7
GUAINIA,9/22/2019,1
GUAVIARE,9/22/2019,0
HUILA,9/22/2019,5
LA GUAJIRA,9/22/2019,8
MAGDALENA,9/22/2019,9
META,9/22/2019,4
NARIÑO,9/22/2019,2
NORTE SANTANDER,9/22/2019,7
PUTUMAYO,9/22/2019,0
QUINDIO,9/22/2019,2
RISARALDA,9/22/2019,2
SAN ANDRES,9/22/2019,0
SANTANDER,9/22/2019,4
SUCRE,9/22/2019,5
TOLIMA,9/22/2019,5
VALLE DEL CAUCA,9/22/2019,6
VAUPES,9/22/2019,2
VICHADA,9/22/2019,1
AMAZONAS,9/29/2019,1
ANTIOQUIA,9/29/2019,19
ARAUCA,9/29/2019,1
ATLANTICO,9/29/2019,15
BOGOTA,9/29/2019,24
BOLIVAR,9/29/2019,9
BOYACA,9/29/2019,0
CALDAS,9/29/2019,0
CAQUETA,9/29/2019,3
CASANARE,9/29/2019,1
CAUCA,9/29/2019,7
CESAR,9/29/2019,8
CHOCO,9/29/2019,2
CORDOBA,9/29/2019,8
CUNDINAMARCA,9/29/2019,7
GUAINIA,9/29/2019,0
GUAVIARE,9/29/2019,0
HUILA,9/29/2019,6
LA GUAJIRA,9/29/2019,8
MAGDALENA,9/29/2019,6
META,9/29/2019,3
NARIÑO,9/29/2019,3
NORTE SANTANDER,9/29/2019,4
PUTUMAYO,9/29/2019,2
QUINDIO,9/29/2019,1
RISARALDA,9/29/2019,6
SAN ANDRES,9/29/2019,0
SANTANDER,9/29/2019,1
SUCRE,9/29/2019,3
TOLIMA,9/29/2019,4
VALLE DEL CAUCA,9/29/2019,17
VAUPES,9/29/2019,0
